,Name,Rating,Year
0,The Shawshank Redemption,9.3,1994
1,The Godfather,9.2,1972
2,The Dark Knight,9,2008
3,The Lord of the Rings: The Return of the King,9,2003
4,Schindler's List,9,1993
5,The Godfather Part II,9,1974
6,12 Angry Men,9,1957
7,Pulp Fiction,8.9,1994
8,The Lord of the Rings: The Fellowship of the Ring,8.8,2001
9,Fight Club,8.8,1999
10,Inception,8.8,2010
11,Forrest Gump,8.8,1994
12,The Lord of the Rings: The Two Towers,8.8,2002
13,"Il buono, il brutto, il cattivo",8.8,1966
14,GoodFellas,8.7,1990
15,The Matrix,8.7,1999
16,One Flew Over the Cuckoo's Nest,8.7,1975
17,The Empire Strikes Back,8.7,1980
18,Interstellar,8.6,2014
19,The Silence of the Lambs,8.6,1991
20,Saving Private Ryan,8.6,1998
21,Se7en,8.6,1995
22,The Green Mile,8.6,1999
23,Star Wars,8.6,1977
24,Terminator 2: Judgment Day,8.6,1991
25,Sen to Chihiro no kamikakushi,8.6,2001
26,Cidade de Deus,8.6,2002
27,La vita è bella,8.6,1997
28,It's a Wonderful Life,8.6,1946
29,Shichinin no samurai,8.6,1954
30,Seppuku,8.6,1962
31,Gisaengchung,8.5,2019
32,The Departed,8.5,2006
33,Whiplash,8.5,2014
34,Gladiator,8.5,2000
35,Back to the Future,8.5,1985
36,The Prestige,8.5,2006
37,Alien,8.5,1979
38,Léon,8.5,1994
39,The Lion King,8.5,1994
40,Apocalypse Now,8.5,1979
41,Psycho,8.5,1960
42,The Usual Suspects,8.5,1995
43,Casablanca,8.5,1942
44,The Pianist,8.5,2002
45,American History X,8.5,1998
46,The Intouchables,8.5,2011
47,Once Upon a Time in the West,8.5,1968
48,Hotaru no haka,8.5,1988
49,Rear Window,8.5,1954
50,Nuovo Cinema Paradiso,8.5,1988
51,Modern Times,8.5,1936
52,City Lights,8.5,1931
53,Raiders of the Lost Ark,8.4,1981
54,Avengers: Endgame,8.4,2019
55,Joker,8.4,I) (
56,American Beauty,8.4,1999
57,Django Unchained,8.4,2012
58,Braveheart,8.4,1995
59,The Dark Knight Rises,8.4,2012
60,Avengers: Infinity War,8.4,2018
61,The Shining,8.4,1980
62,Oldeuboi,8.4,2003
63,Spider-Man: Into the Spider-Verse,8.4,2018
64,Idi i smotri,8.4,1985
65,Aliens,8.4,1986
66,Memento,8.4,2000
67,Coco,8.4,I) (
68,Kimi no na wa.,8.4,2016
69,Amadeus,8.4,1984
70,WALL·E,8.4,2008
71,3 Idiots,8.4,2009
72,The Lives of Others,8.4,2006
73,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964
74,Capharnaüm,8.4,2018
75,Das Boot,8.4,1981
76,Sunset Blvd.,8.4,1950
77,Paths of Glory,8.4,1957
78,Witness for the Prosecution,8.4,1957
79,The Great Dictator,8.4,1940
80,Tengoku to jigoku,8.4,1963
81,Good Will Hunting,8.3,1997
82,Inglourious Basterds,8.3,2009
83,Requiem for a Dream,8.3,2000
84,Eternal Sunshine of the Spotless Mind,8.3,2004
85,2001: A Space Odyssey,8.3,1968
86,Reservoir Dogs,8.3,1992
87,Once Upon a Time in America,8.3,1984
88,Jagten,8.3,2012
89,Toy Story,8.3,1995
90,Star Wars: Episode VI - Return of the Jedi,8.3,1983
91,Lawrence of Arabia,8.3,1962
92,Mononoke-hime,8.3,1997
93,Citizen Kane,8.3,1941
94,Toy Story 3,8.3,2010
95,Ikiru,8.3,1952
96,Vertigo,8.3,1958
97,Singin' in the Rain,8.3,1952
98,North by Northwest,8.3,1959
99,M - Eine Stadt sucht einen Mörder,8.3,1931
